City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,prince george,53.9166,-122.753,23.47,45,40,0.89,CA,1691616320
180,igarka,67.4667,86.5833,13.21,96,97,2.71,RU,1691616320
181,pama,11.2497,0.7075,23.52,97,100,3.19,BF,1691616321
182,port moresby,-9.4431,147.1797,23.68,73,40,5.14,PG,1691616321
183,thompson,55.7435,-97.8558,19.09,48,75,1.54,CA,1691616011
184,matelica,43.2541,13.0106,20.83,74,76,2.27,IT,1691616321
185,laguna,38.421,-121.4238,33.63,38,0,3.6,US,1691616321
186,arraial do cabo,-22.9661,-42.0278,21.92,78,75,6.17,BR,1691616147
187,mata-utu,-13.2816,-176.1745,27.93,76,11,5.07,WF,1691616321
188,souda,35.4844,24.0744,24.63,73,0,0.0,GR,1691616322
189,novyy urgal,51.0736,132.5642,16.24,77,81,0.76,RU,1691616322
190,mitu,1.1983,-70.1733,26.75,76,100,1.34,CO,1691616322
191,ar rutbah,33.0381,40.2848,32.13,11,0,5.54,IQ,1691616322
192,chingola,-12.529,27.8838,16.13,34,2,3.52,ZM,1691616322
193,kushiro,42.975,144.3747,20.16,99,100,4.42,JP,1691616322
194,hamilton,39.1834,-84.5333,27.55,80,75,6.17,US,1691616069
195,chonchi,-42.6128,-73.8092,10.07,96,100,4.4,CL,1691616229
196,ta`u,-14.2336,-169.5144,27.1,74,7,4.43,AS,1691616322
197,shalqar,47.8333,59.6,24.4,43,0,6.38,KZ,1691616323
198,hengchun,22.0042,120.7439,27.77,85,99,7.21,TW,1691616323
199,iskateley,67.6803,53.1512,12.28,83,38,2.54,RU,1691616226
200,radnevo,42.3,25.9333,18.26,71,23,2.75,BG,1691616323
201,paramonga,-10.6667,-77.8333,21.22,71,23,4.8,PE,1691616323
202,al qusiyah,27.4402,30.8184,30.15,25,0,3.34,EG,1691616323
203,ploneour-lanvern,47.9,-4.2833,20.18,88,0,1.03,FR,1691616323
204,lompoc,34.6391,-120.4579,29.08,75,100,4.12,US,1691616050
205,loch garman,52.3342,-6.4575,17.34,100,0,1.34,IE,1691616324
206,maitum,6.0392,124.4986,25.7,82,100,1.53,PH,1691616324
207,ust-nera,64.5667,143.2,16.09,60,12,1.55,RU,1691616324
208,antsiranana,-12.2787,49.2917,22.02,79,1,5.18,MG,1691616324
209,hotan,37.0997,79.9269,27.68,26,55,2.9,CN,1691616324
210,lorengau,-2.0226,147.2712,27.52,77,100,6.11,PG,1691616226
211,el bauga,18.262,33.9081,33.51,39,98,6.69,SD,1691616324
212,itoman,26.1247,127.6694,27.01,100,75,3.09,JP,1691616325
213,shache,38.4167,77.2406,28.17,23,3,2.74,CN,1691616325
214,las palmas,28.4204,-14.0131,23.44,73,20,5.66,ES,1691616325
215,bella vista,36.4295,-94.2316,29.75,76,100,6.17,US,1691616325
216,mount gambier,-37.8333,140.7667,9.93,76,100,4.76,AU,1691616133
217,aflou,34.1128,2.1023,28.12,21,18,3.62,DZ,1691616325
218,sao gabriel da cachoeira,-0.1303,-67.0892,30.08,67,45,0.71,BR,1691616325
219,luderitz,-26.6481,15.1594,23.46,44,78,2.33,NA,1691616326
220,mount pearl,47.5166,-52.7813,13.86,85,100,6.69,CA,1691616326
221,mangrol,21.1167,70.1167,26.99,83,100,7.72,IN,1691616326
222,awjilah,29.1081,21.2869,26.93,49,0,7.03,LY,1691616326
223,ribeira grande,38.5167,-28.7,24.22,88,20,4.12,PT,1691616326
